unit_id,treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,developer_experience,rollout_eligibility,noise_feature,docstring_detail_score,review_flag
30,1,1,35,1,10,0,4.28,0,-0.5598,1.6221634342437334,1
31,0,0,141,8,14,10,4.4,1,-1.7506,-1.0043049871599201,1
32,1,0,26,1,6,1,1.54,1,0.9591,-1.1640963964470026,1
33,1,1,43,2,11,0,3.07,1,-0.6281,1.683722757802355,0
34,1,0,94,9,13,0,3.3,1,0.4071,1.9117960959617128,0
35,0,0,59,3,12,1,6.56,0,-0.7774,-1.3206459072185217,0
36,0,1,100,5,14,5,5.36,0,0.6699,0.3480835501507227,1
37,0,1,40,1,9,3,4.06,0,1.4542,1.287738407340532,0
38,0,0,97,3,17,8,6.42,0,1.9532,0.18320393743794555,0
39,1,1,185,8,26,3,3.8,1,0.6893,1.6328903683943796,0
40,1,1,291,20,28,19,1.64,0,-1.3849,-0.936275385140658,1
41,1,0,61,2,14,1,1.98,0,0.6655,1.8888406882798308,1
42,1,1,97,1,15,12,4.69,0,-0.2718,2.7165187572184832,1
43,1,1,134,1,36,2,4.53,1,0.3237,0.774870871238384,1
44,0,0,35,3,7,0,3.38,1,-0.977,-1.1957696486752283,0
45,0,1,42,2,8,1,5.45,1,1.776,-0.5751901894674879,1
46,1,1,152,4,35,6,3.85,1,-0.5786,-1.2155210383989161,0
47,0,0,74,2,11,2,7.34,1,-1.3896,0.3747302552200187,0
48,0,1,32,1,11,0,3.98,0,1.4952,1.033904294512205,0
49,1,0,180,7,29,1,2.25,1,0.1925,0.3533858053444663,1
50,1,0,110,7,16,4,5.63,1,-0.348,0.845407639461391,0
51,0,1,56,2,9,5,4.75,0,1.0489,1.018162055085275,1
52,1,1,122,2,24,2,3.86,0,0.9422,1.1990755975354743,1
53,0,1,50,2,14,0,4.21,1,0.3226,-0.5116274681076046,0
54,0,0,29,1,8,0,6.33,0,2.3327,0.08600127756741473,0
55,1,1,163,5,26,7,8.27,0,-0.406,2.4904511124382234,1
56,0,1,23,1,7,0,5.6,0,0.6997,0.5313088697628097,1
57,0,1,28,1,7,1,3.5,1,-2.1774,-0.47442927548179314,1
58,1,0,31,1,8,0,4.56,1,-0.8874,2.399236241788583,0
59,1,1,96,7,14,4,5.73,0,0.5009,0.7260715183749183,0
60,0,1,56,2,8,2,7.04,0,-0.5966,-0.633528576852653,0
61,1,1,102,1,17,9,0.35,0,-1.5648,0.22986966817965815,1
62,1,1,50,3,10,3,3.45,1,-1.2757,1.3077895976217646,1
63,0,0,84,3,12,7,6.43,1,-1.3473,1.1112307368609977,0
64,0,1,101,3,15,0,5.76,1,-0.0336,1.5744468519326216,0
65,0,0,25,1,6,0,4.52,0,-2.0088,-0.3267260749256353,0
66,0,0,63,3,11,3,3.66,0,1.2004,0.49313395560119555,0
67,1,1,47,3,10,0,4.55,1,0.0757,1.58513265264161,0
68,0,0,86,4,16,2,5.6,0,0.5792,-0.06057075197891082,0
69,0,1,48,1,10,0,5.65,1,-0.7303,0.5305795078693667,0
70,0,0,45,1,8,0,3.93,0,-0.3482,-1.654630222487274,1
71,1,0,219,9,35,11,1.62,0,-0.9877,-2.2855536651881483,0
72,0,0,47,2,10,0,5.2,1,-1.1944,1.0610577600495539,0
73,1,1,77,3,18,0,6.85,1,-0.0405,-0.051687056847030455,1
74,1,1,130,5,23,8,3.87,0,-1.4273,-0.9164598585103538,1
75,1,1,53,4,6,4,5.89,1,-0.9844,-0.0958138568984579,1
76,1,0,68,5,12,1,3.94,0,0.5209,1.0366292053254982,0
77,1,1,59,2,11,3,7.3,1,-0.5439,1.2470976126400803,0
78,0,1,36,1,7,1,6.34,0,1.0161,0.749019351084784,1
79,0,0,68,4,9,0,4.2,1,2.1515,0.18962673428756263,0
80,0,0,49,1,9,3,3.82,1,0.0742,-0.5054201685506083,1
81,0,0,61,3,14,1,5.44,0,0.1948,0.5498728619147796,1
82,1,0,79,5,14,4,0.0,1,0.4508,1.0269336637987159,0
83,1,0,59,1,13,0,3.05,1,-1.3778,0.7069103630961476,1
84,0,1,32,1,8,1,5.17,1,1.2199,0.015290821459552309,1
85,1,0,43,1,10,0,4.29,1,0.0602,1.50022638688359,1
86,0,1,28,1,9,1,4.01,1,-1.4456,-0.6313407819726473,0
87,1,1,108,2,9,19,2.3,1,-0.6037,2.4520319644491533,1
88,1,1,230,3,44,12,5.32,0,-1.365,1.2460688473734605,1
89,0,1,84,4,16,8,8.05,0,1.3207,-0.33443511273933085,1
90,1,1,218,1,43,1,5.1,1,1.3911,2.385347918002839,1
91,1,1,257,6,50,8,7.51,1,-0.2429,-0.6439667106386331,1
92,0,0,26,2,6,0,3.57,0,-0.0723,-0.6321292221173151,0
93,1,0,234,7,35,11,3.77,0,1.887,-0.288467139012891,0
94,1,1,292,11,31,25,5.3,1,0.7813,1.2162448766597649,1
95,0,0,27,1,8,0,4.24,1,0.5283,1.4370026210203717,0
96,0,1,45,1,11,1,5.67,1,0.6951,-0.8508772242713348,1
97,1,1,69,4,12,4,0.0,1,-0.1777,3.3695837728578404,0
98,0,0,63,2,15,2,2.59,0,0.1028,-0.27133294323031776,0
99,0,0,112,6,19,1,0.93,1,0.8816,0.566290538783518,0
100,0,0,189,4,37,18,2.87,1,-0.6843,-0.10534398257132511,0
101,1,0,27,1,7,0,2.16,0,0.6768,1.0992489742543559,1
102,0,0,73,6,13,3,7.71,0,-0.5445,-0.8790389252888464,0
103,0,0,143,7,24,3,3.3,0,-0.7478,0.2133356488162348,0
104,0,0,39,2,8,4,4.68,1,0.5145,-0.8817617206468944,0
105,1,0,51,2,9,2,5.2,0,0.6697,-0.6830546095962227,0
106,0,1,26,1,7,0,6.43,0,0.3489,-0.9293792751853087,0
107,1,0,86,6,12,4,5.4,1,-0.2648,2.397387974264362,0
108,1,0,33,1,9,0,3.11,1,-0.6237,1.7359164771981648,1
109,0,0,130,4,25,7,2.57,0,0.5093,-1.9420299764661322,1
110,1,0,33,2,7,0,1.63,1,0.338,1.8078908037162307,0
111,0,0,73,2,19,2,8.27,1,0.1676,-1.6534576812291832,0
112,1,1,32,2,7,0,2.41,1,0.6837,0.7103063764719437,1
113,0,1,65,3,14,4,9.97,1,0.2357,-0.9722075720492425,0
114,1,0,109,3,19,3,3.04,1,-0.5062,1.6046539355313778,1
115,0,0,143,3,22,8,3.27,0,1.6891,0.43772239831015497,0
116,0,1,59,4,8,3,1.99,0,0.4623,0.7415270689687156,1
117,1,1,29,2,6,0,3.45,0,-0.729,0.5939318397248686,1
118,1,0,32,1,8,0,1.93,1,0.5583,0.5824771752367116,1
119,1,1,80,4,19,0,2.6,1,0.5001,-0.5395679994072495,1
120,1,0,117,4,21,5,3.44,1,0.3345,0.6523995438186182,1
121,0,0,69,3,16,3,2.8,0,-1.1437,0.6547853925954316,1
122,1,0,105,11,14,1,3.95,1,-1.4222,0.5700171376482246,0
123,0,1,39,2,8,1,11.5,0,0.9202,0.17894837207003148,0
124,1,0,118,8,14,8,7.43,1,-1.0168,1.4596429008516372,1
125,1,0,113,5,13,0,5.91,1,-0.6463,-0.5798068477950391,0
126,1,0,205,12,23,0,3.83,0,0.2196,0.3913750052915018,0
127,0,0,91,4,23,3,11.35,0,1.0478,-1.0834966634475358,0
128,0,0,53,2,13,0,4.82,0,0.2368,0.8529610049480056,0
129,1,0,74,1,17,0,6.86,1,-0.2553,1.3018330397548272,0
130,0,1,31,2,7,1,6.31,1,0.5743,1.1611865572650097,1
131,1,1,31,2,8,0,6.83,0,-0.9988,0.30148462122098074,1
132,1,1,69,2,8,3,3.52,1,0.3687,2.5758022688123403,1
133,0,0,29,2,6,0,2.7,0,-0.4597,1.5636133141573225,0
134,0,0,60,2,15,2,8.53,1,1.2029,0.276391874061652,0
135,0,1,48,2,8,0,7.42,0,-0.001,0.7742629971922039,0
136,0,0,54,3,9,3,4.65,1,1.3122,-0.24751575799153164,0
137,1,1,217,1,39,9,0.0,0,1.5554,-0.2792446588573445,1
138,1,1,44,1,10,2,5.12,1,-0.4587,1.6662778338197308,1
139,0,0,35,3,7,1,4.87,0,-0.0255,-0.6760977074523307,0
140,0,1,28,1,7,1,5.93,0,-0.8896,2.6503119682660636,1
141,0,0,29,2,6,0,7.04,1,-0.2285,0.9010885429513034,0
142,0,0,237,4,36,6,2.18,0,-1.3518,0.34211184502305014,0
143,1,0,281,6,40,10,7.53,0,0.5739,1.3192154976922357,1
144,0,0,28,1,6,0,4.76,1,0.5811,0.7596494574363482,1
145,1,1,122,5,21,0,0.8,0,1.3191,1.2028116174221344,0
146,1,1,88,6,13,4,4.62,0,1.1256,0.2639992240542435,1
147,0,0,37,1,8,2,9.14,1,0.0266,-1.1126737340121973,0
148,1,0,135,7,19,4,6.42,1,0.9344,1.1551666582546196,1
149,1,1,253,5,27,16,5.84,0,0.3524,0.7207797572552028,1
150,1,0,206,2,38,1,5.86,0,1.0932,2.871260031914244,1
151,0,0,169,7,28,9,0.89,0,0.3755,-0.390647019538817,0
152,0,1,78,3,15,1,7.47,0,-0.4452,0.6604409855257154,1
153,1,1,67,2,17,1,6.23,1,-0.3196,1.0578481906921762,0
154,1,0,146,7,26,5,4.85,0,-0.9045,0.8106169301934939,1
155,0,1,75,1,13,13,4.79,0,1.145,-0.8379628141655207,0
156,0,0,65,1,11,9,2.67,0,-0.1557,0.23322990483840472,0
157,1,1,74,2,19,3,3.78,0,-0.7615,1.3942161927587602,1
158,1,0,160,7,27,3,4.47,1,-2.4905,0.21987116292459263,0
159,1,1,95,6,17,2,6.99,0,-1.7321,1.187041257276159,0
160,1,1,96,4,18,5,2.38,1,-0.7818,0.6064880315680681,0
161,1,1,171,1,29,7,6.97,0,1.3408,1.0570371809941528,1
162,1,1,113,8,16,4,3.82,1,-0.542,1.763001147343058,1
163,1,0,47,2,10,0,3.79,1,0.107,0.8769876180792759,1
164,0,0,36,2,5,0,5.22,0,-0.7553,-0.9352872181285917,0
165,0,0,33,1,7,1,5.58,0,-0.0276,-0.21217493004568955,0
166,1,1,270,5,20,36,4.18,1,-0.8367,-0.2654939315609426,0
167,0,0,166,6,21,1,6.55,0,-2.521,-2.011055266262665,0
168,1,1,150,7,28,4,4.74,0,-0.0556,0.17198819839699342,0
169,1,1,22,1,5,1,2.74,0,0.2102,0.73137313595759,0
170,0,0,45,3,6,1,4.91,0,-0.6664,0.6472110316694759,0
171,1,1,56,3,12,5,4.88,1,0.43,-0.18281137664291225,1
172,0,0,38,2,8,1,6.32,0,1.2499,0.00290947727352088,0
173,0,0,154,7,20,2,4.71,1,-1.1163,2.157115466329608,0
174,0,0,41,2,10,2,5.09,0,0.1002,-0.6910208232800006,0
175,0,0,35,1,8,1,6.48,0,0.4587,1.1814763255354779,0
176,1,0,285,9,30,10,5.25,1,1.1756,1.5286045682290799,0
177,1,0,36,1,8,0,2.28,0,-2.2743,-0.7217127506696046,0
178,0,0,108,4,15,1,4.67,1,0.185,-0.052761285985796186,0
179,1,1,174,4,29,9,7.44,0,-0.2579,1.4594271596122068,0
180,1,0,23,1,6,0,2.4,0,0.1659,1.762103800394022,0
181,0,1,137,2,27,7,4.06,1,0.5881,1.204888352865276,0
182,1,0,23,1,6,0,0.84,1,0.0538,1.112204380200919,0
183,0,1,32,1,6,1,6.07,1,0.2031,1.2203126844547343,0
184,1,1,96,2,16,13,5.97,0,-0.2449,1.6882356722608245,1
185,1,0,131,5,19,6,0.35,0,0.7556,1.975016206093757,1
186,1,0,181,10,21,2,5.82,1,-1.3989,0.9117969825618146,1
187,1,0,170,8,24,2,4.66,1,1.0899,0.17267397664999984,0
188,1,1,30,1,7,0,6.59,1,-0.2132,0.9496635829956775,1
189,0,0,34,1,8,0,6.74,1,0.5884,1.0443361918941831,1
190,0,0,118,7,12,5,3.36,0,0.1414,0.41967692821098257,0
191,1,0,63,2,5,0,2.4,1,-0.4461,0.5162858415330648,0
192,0,0,48,3,8,0,2.87,0,0.1133,1.3067209531165294,0
193,0,0,36,1,7,0,4.45,1,1.0023,-0.3803121270061741,1
194,0,0,64,3,17,2,7.79,1,0.4235,0.20018355091345447,0
195,0,1,49,1,11,0,6.53,0,-1.8521,0.2829669270611592,1
196,1,1,127,3,27,4,4.43,1,0.2413,-0.1723474479623326,1
197,1,1,142,5,27,6,9.06,0,1.8628,0.3719133623095207,1
198,1,1,81,1,18,3,3.94,1,1.2645,2.868552393328689,0
199,0,0,27,1,7,0,5.48,0,0.2638,-0.6715598099989328,1
200,0,1,30,2,8,1,4.58,1,-0.2456,0.5956064377155692,0
201,0,1,92,3,10,14,5.75,1,-0.3592,-1.1255824363261295,1
202,1,0,85,7,7,6,2.07,0,3.5651,-0.390782809036607,0
203,1,0,50,1,12,3,0.0,0,-0.5617,-0.428568206380894,1
204,1,1,59,3,13,0,4.45,1,-0.9063,1.1547103309614397,1
205,0,0,100,4,24,0,4.29,0,0.2029,-1.0006731733606467,0
206,0,1,43,1,10,0,4.87,0,1.413,1.3743541108860144,1
207,1,0,92,4,17,7,5.84,0,-0.3718,0.5942343083336231,0
208,1,1,64,6,11,1,4.43,1,0.5279,0.7226463583021184,1
209,1,0,34,2,7,0,3.28,1,0.6557,1.2245850374633567,0
210,1,0,260,12,30,1,8.78,0,0.0892,-0.7593208118656287,1
211,0,0,78,4,16,2,5.15,0,0.0451,0.34953146844729427,0
212,0,1,46,2,11,0,5.19,0,0.0535,0.2773635722984336,0
213,1,0,50,4,7,4,6.63,0,0.8231,1.96398234537633,0
214,0,0,36,1,9,2,6.59,0,-0.1388,-0.8320623845696606,1
215,0,0,80,5,16,0,7.57,1,-0.5573,-0.6992054845531965,0
216,0,0,40,2,10,0,6.86,0,-1.1014,0.4597270276160116,1
217,1,1,65,3,11,8,5.05,1,1.7154,3.8846078746143142,0
218,1,1,28,1,6,0,5.79,0,-0.0862,0.19618163486202322,0
219,1,0,92,3,20,2,4.61,1,-0.4894,0.06725750014394882,0
220,1,0,49,1,12,0,3.81,1,-0.3851,0.3187661027301181,1
221,1,1,69,3,6,3,5.37,1,-0.4439,-0.016664730451365517,1
222,0,0,30,2,8,1,4.63,1,1.0918,0.38102691172429426,0
223,1,1,49,3,12,0,7.51,0,0.1327,-0.2005875202193006,1
224,0,1,46,1,13,3,1.59,0,0.6768,0.6485074084599517,0
225,0,0,28,1,7,0,2.62,1,1.0067,0.2036687125413348,0
226,1,0,25,1,6,0,2.3,1,1.5709,1.7675686857628023,0
227,0,0,26,1,7,0,3.03,0,0.9994,-2.0357849114944666,0
228,0,0,55,2,13,2,9.22,1,1.342,-1.4090752234261024,0
229,0,1,48,1,11,0,5.48,0,0.6176,2.0153854232208728,0
230,1,1,96,7,17,1,6.71,1,-1.1655,-0.2529265974082362,0
231,1,0,22,1,6,0,0.63,1,-0.5407,-0.4702442182081512,1
232,1,1,35,2,9,1,4.85,0,0.542,0.5372515887675668,0
233,0,0,85,4,17,1,8.62,0,0.2324,0.11906191677228964,1
234,0,0,143,7,29,2,4.8,1,2.2686,-0.6690781154040598,1
235,1,0,88,2,17,1,2.9,0,0.359,1.0738216312038533,0
236,1,0,254,10,35,1,4.17,0,-1.0119,0.4803002974460991,1
237,0,1,56,1,13,5,7.93,0,-0.194,1.074655023793996,1
238,0,1,84,2,12,1,6.7,1,-0.2525,0.9454287609054435,0
239,0,0,96,1,12,0,2.58,0,0.365,0.6757979695283588,0
240,1,1,72,2,15,6,4.46,0,-0.3229,1.0566862357471845,1
241,1,1,35,3,5,2,5.47,0,0.118,1.27285114899719,1
242,0,1,90,2,15,0,9.56,1,-1.0363,0.1454680182961257,1
243,0,0,50,1,11,0,3.32,0,0.5884,-0.133179394200018,0
244,1,0,286,9,36,4,2.78,0,0.5379,0.14406082023193456,1
245,0,1,123,4,17,11,4.2,0,1.4069,0.07969853586602593,1
246,0,0,155,6,23,0,5.48,0,0.7165,-0.8452856245268396,1
247,0,1,33,1,8,0,10.06,1,0.1055,-0.3977650069060743,1
248,0,0,68,3,15,3,5.38,0,0.8408,-1.3152431850629394,0
249,1,0,91,2,18,6,3.21,1,0.1747,-1.7048482073188012,0
250,1,1,62,5,12,2,3.66,1,0.1012,0.09568729993708991,1
251,1,1,88,4,16,3,4.72,0,0.1649,1.023084019189468,1
252,1,1,287,10,42,9,5.24,1,1.1307,0.5143891701700978,1
253,1,0,282,11,48,3,7.71,0,2.2907,1.5745729444443466,1
254,1,0,217,9,22,1,1.99,0,0.0546,-0.45621660338462156,0
255,0,1,136,5,22,7,3.68,0,0.3864,1.893535154167151,0
256,0,0,80,7,12,0,3.62,0,-0.192,-0.27308715645191695,1
257,0,1,86,2,16,5,8.38,1,-0.4617,1.6404786276555123,1
258,1,0,229,7,34,0,6.62,0,-0.3743,0.7545616456336004,0
259,0,0,33,1,9,0,3.17,1,0.0315,-0.9927321188162547,0
260,0,0,29,2,6,0,8.23,1,0.2843,0.6775469113166844,0
261,0,1,56,4,9,0,2.62,1,-0.0486,2.59038453289711,0
262,1,0,133,6,18,4,4.03,0,-0.0529,-0.07859930576527052,0
263,0,0,74,4,10,0,8.51,0,-0.9764,0.27309672706143173,0
264,0,0,46,2,10,2,0.48,1,0.331,0.6856972234137518,0
265,0,1,42,2,10,1,6.62,0,0.5979,-0.17281719908877963,0
266,0,0,36,2,11,1,6.26,0,2.1226,-2.0708317588666163,0
267,1,1,143,2,31,11,4.62,1,0.1646,0.6260357198510647,1
268,1,1,85,1,15,3,4.34,1,0.4109,0.3033632989307352,1
269,1,1,33,1,8,0,4.29,1,0.9452,2.024717704693942,1
270,0,0,47,3,10,2,5.73,0,0.5553,-0.33830610793132315,0
271,0,0,38,2,8,1,6.13,0,1.2361,-0.10365518291265582,0
272,1,0,203,10,21,7,5.71,1,0.1764,0.16990864083825596,1
273,0,0,39,2,9,1,5.12,0,0.3919,0.7808969367252225,0
274,1,1,87,3,14,1,8.08,1,1.1043,1.591090133521392,1
275,0,0,64,3,17,1,5.19,0,-0.5755,-0.7686756409067177,1
276,0,0,38,2,9,0,10.37,0,-0.5734,0.17598350078698172,0
277,1,1,160,6,24,11,10.01,1,-0.0192,-0.11966209006382522,0
278,1,1,105,1,7,0,4.72,0,0.9697,0.0015445894901249257,1
279,1,1,56,1,6,9,5.24,0,-3.9516,1.2699586495896402,1
280,1,1,61,5,9,3,4.53,1,0.6194,1.0495675561895443,1
281,1,0,91,6,14,3,5.43,1,1.3906,0.7146815631889577,1
282,0,0,61,2,9,5,4.08,0,1.1148,-0.2911721458314692,0
283,1,0,160,10,9,12,5.83,1,0.5865,0.15665201655481353,0
284,1,0,215,6,42,4,3.79,0,-0.1312,1.0142463182899109,1
285,1,0,85,7,15,1,1.49,0,-0.1741,-0.01936742361963928,0
286,0,1,24,3,6,0,6.17,0,0.7342,0.48564026549529504,0
287,0,0,29,1,7,0,3.08,0,1.3558,-1.1463027553206822,0
288,0,0,43,2,10,1,6.75,0,-0.8851,-0.06409463377200458,0
289,1,1,54,4,9,0,7.1,1,0.1259,0.5497212172197696,1
290,1,1,41,1,11,1,8.31,1,-0.322,1.5376883171665479,1
291,1,1,55,1,8,5,4.28,1,1.5128,0.00039678342946858347,1
292,0,0,163,3,31,3,1.96,1,1.9247,-0.7845678174098067,1
293,0,1,65,3,11,0,8.19,1,2.0361,-1.1542801264396354,0
294,1,1,84,2,16,7,8.19,0,-0.3035,0.5074494982403339,1
295,1,1,34,2,8,0,8.37,0,2.0421,0.9364230348434732,1
296,1,1,32,2,4,2,6.89,1,-0.5113,-0.41208100414536153,0
297,0,1,41,2,7,3,9.94,0,0.0522,-0.38956300648369485,0
298,0,1,28,1,7,0,7.65,0,0.3878,0.45685095297014827,0
299,0,1,123,3,29,4,6.5,0,-0.8065,-0.2190232114830573,1
300,0,0,38,2,9,0,1.31,1,0.2287,-0.040425262746018514,0
301,0,0,57,3,10,4,5.53,0,1.1292,-1.0148156073943304,0
302,1,0,98,4,12,3,4.67,1,-0.9593,0.5797921596680072,1
303,0,0,27,1,6,0,1.81,0,-0.9807,-0.13954627537559863,0
304,0,0,125,9,9,0,6.21,1,0.7255,0.10372640486345289,0
305,1,0,146,7,20,9,0.64,0,-2.1186,1.3599252446622394,1
306,1,0,86,5,14,2,4.56,0,-0.2018,0.5724683188062463,1
307,0,1,44,3,6,2,7.19,0,-0.0913,-0.1747662111802344,1
308,1,1,251,9,27,14,4.09,1,1.3678,-0.5813865276801726,1
309,1,1,162,5,23,9,1.09,1,1.7655,1.958799751982443,0
310,0,0,84,1,12,3,2.99,0,-2.3463,-0.8497162880344782,0
311,0,1,50,3,10,0,2.43,0,1.1808,0.08767293223024929,1
312,1,1,68,6,11,2,7.21,1,-0.7764,2.070804609277344,1
313,1,1,29,1,8,0,2.57,1,1.3602,1.649366693468889,1
314,1,0,75,4,6,0,2.36,1,1.2865,1.3941038583942538,0
315,1,1,145,2,33,5,4.78,1,-0.1637,2.206337792320112,0
316,0,0,27,1,5,0,3.97,0,-0.998,0.02939339022392029,0
317,0,1,123,2,12,0,9.51,0,0.3429,-0.20078077352113577,0
318,1,0,222,14,22,4,4.78,0,-1.2828,-0.2639983761087674,1
319,1,0,87,3,12,5,7.25,0,-1.0182,1.4172859093513313,0
320,0,1,91,3,19,3,3.15,0,-0.8064,0.9593325068354626,1
321,1,0,195,10,28,2,5.12,0,0.8052,0.681886425016748,1
322,1,1,73,4,13,3,4.5,1,0.3125,1.668244467456923,1
323,1,1,57,2,8,5,0.16,1,-1.6386,0.605322919353437,0
324,0,1,47,2,11,1,3.4,1,0.2708,0.11824818956821656,0
325,1,1,74,2,18,2,6.67,1,0.0678,-0.852525120138673,0
326,1,1,45,1,12,2,6.45,0,-1.5936,2.507820203332145,0
327,0,0,38,1,10,1,5.63,1,-1.0835,-0.29750377026705,0
328,1,0,116,1,22,2,3.1,0,-0.3907,1.4856427540849506,0
329,0,0,80,3,11,1,8.04,1,1.2544,-0.5010198337187305,0
330,1,0,53,3,9,2,8.01,1,-2.0845,0.2804056661724734,1
331,0,0,25,1,6,0,7.77,0,0.2469,-0.3520962359604797,1
332,1,1,223,12,32,5,7.19,1,-0.2709,-0.3312013150100046,1
333,1,0,29,1,8,1,4.47,0,0.9871,-1.248629790516121,0
334,0,1,51,2,12,0,6.09,1,-2.0274,0.8598407133437903,1
335,0,0,71,4,10,0,6.6,1,-4.1229,0.49246073925377104,0
336,0,1,24,1,5,0,7.55,0,-0.5481,-0.9278569342077888,0
337,1,1,277,7,43,17,5.24,1,-1.1414,1.1090370192441479,1
338,0,1,42,3,6,5,8.53,0,-1.0062,0.7838542478317017,0
339,0,0,202,13,33,4,5.97,0,0.0035,-0.9870793672226316,0
340,0,0,170,2,24,1,9.77,1,0.9594,0.5883504594161038,0
341,1,1,23,1,7,0,6.77,0,0.3567,1.7370530172984922,1
342,1,1,44,1,9,0,2.55,0,-2.0179,-0.21907147782454328,0
343,1,1,256,7,34,23,2.53,0,-1.4904,0.9128108525644607,0
344,1,0,28,2,6,1,4.81,0,-0.8916,0.9909200493816446,1
345,0,1,70,1,5,12,9.67,0,0.8417,1.5379358935433431,0
346,0,1,127,8,12,7,4.53,0,1.0702,-0.26388168439692405,1
347,0,0,55,3,14,3,6.95,1,-0.0513,-0.5961378330633615,0
348,1,1,67,1,16,0,2.07,0,2.072,0.36867576088276643,1
349,1,1,135,6,26,11,6.84,1,-0.3771,3.1212771740248044,1
350,0,0,58,2,13,0,7.55,0,-0.2823,-0.2864350617854511,0
351,1,1,157,6,22,0,4.53,0,0.721,0.9584504828372451,0
352,0,0,104,4,17,3,5.59,0,-0.0744,-0.26551912183741444,0
353,1,1,150,7,28,4,3.87,0,-0.4048,1.1876997951246986,0
354,0,1,31,2,6,2,6.11,1,-0.175,0.8366247079628796,1
355,1,1,63,3,12,2,1.4,1,-0.8553,0.48175436736858174,1
356,0,0,62,3,13,0,2.8,1,-1.2207,-0.5601636761968589,1
357,0,0,26,3,6,0,3.13,1,-1.7327,-0.5138844865135539,0
358,1,0,84,2,15,8,5.17,1,1.402,0.4613441966421521,0
359,1,0,169,9,20,13,4.56,1,1.0336,0.167485589281697,0
360,0,1,243,10,28,20,2.76,0,0.5976,0.49164580625350385,0
361,0,1,37,2,8,1,5.95,0,-0.3823,-0.7861735865678222,1
362,0,0,87,1,12,7,3.35,0,-1.1072,-1.6630219492393672,1
363,0,0,54,3,15,0,5.92,0,-2.2279,-0.1350830203793352,0
364,0,1,73,3,13,7,6.76,1,-0.7529,0.12937870723996797,0
365,0,1,58,1,6,0,4.78,0,-0.6363,0.44732658083859533,0
366,0,1,77,4,16,5,2.52,0,1.1704,-0.8994437927284236,1
367,1,0,133,4,28,4,5.11,1,0.1782,0.7811770382409695,1
368,0,0,36,2,7,3,2.39,0,-1.0907,0.18136277281906718,1
369,0,1,64,3,9,6,5.55,1,-1.8421,0.522192280059455,1
370,0,1,36,1,7,0,5.95,0,0.5358,-0.9750298291480949,1
371,0,1,82,2,16,1,5.56,0,1.3543,0.7542161963897887,1
372,0,0,42,3,6,0,4.42,0,-1.1431,1.3000178122926296,0
373,1,1,68,3,10,2,5.47,1,1.9987,1.1482833852398109,0
374,1,0,148,6,24,1,5.46,0,-1.0645,0.7797944393253,0
375,1,0,57,1,13,0,4.39,1,-0.2504,1.3299760413430475,0
376,1,1,22,1,6,0,5.01,1,1.1024,-0.01966462759248866,1
377,1,0,107,4,13,6,4.0,0,0.8837,0.23813854189547,1
